5_digit_zip,payment_usd
06762,57646.619999999995
06790,300.0
06801,974.63
06807,6721.85
06810,743164.0800000002
06811,54858.36
06820,7375.0
06824,414169.7
06830,4103.780000000001
06831,1500.0
06850,83752.60000000002
06851,1494417.13
06856,86601.68000000001
06880,24195.5
06902,460977.17000000004
06904,368583.07999999996
06905,4586938.55999998
07003,512137.76999999996
07004,962.5
07009,4952.5
07010,369.03
07012,664.95
07013,1858.65
07018,68685.64
07024,735382.7699999991
07028,18675.0
07030,70036.0
07036,189242.75999999998
07039,1270215.8600000003
07041,2700.0
07042,84857.77
07044,469633.10000000003
07046,57498.520000000004
07052,224325.29
07055,3578.4
07059,180001.71
07066,2887.5
07068,6408.94
07069,115103.0
07070,457773.02999999997
07078,14617.4
07079,9139.3
07080,6080.0
07081,19397.05
07083,98454.97
07090,400.0
07092,3450.0
07094,1598.4700000000005
07095,80.0
07101,304981.85
07102,588781.8999999999
07103,176017.06
07104,200.0
07107,17812.07
07109,235601.83000000002
07112,683314.5600000002
07201,56753.77000000001
07206,5620.34
07302,75.0
07307,7978.2
07410,1308639.21
07432,7600.0
07450,711146.8599999998
07452,14075.52
07470,109449.04
07481,3576.0
07503,87902.68
07601,9295974.420000006
07621,8409.68
07624,35311.25
07631,644561.46
07632,6123.44
07645,34377.6
07649,68203.12
07650,120000.0
07652,1607121.44
07656,867.57
07662,27603.43
07666,510344.3000000001
07675,36592.07
07702,495863.72000000003
07712,123118.40000000001
07719,41000.0
07720,1872.0
07722,5991.0
07724,335465.52999999997
07726,249938.75
07727,75294.66999999998
07728,556168.8500000001
07733,24783.2
07738,30.0
07740,21126.0
07748,18161374.750000007
07749,8183.0
07751,34390.72
07753,1458372.7100000004
07760,3000.0
07764,44559.61
07801,22406.02
07823,4199.99
07834,20888.64
07836,34400.4
07840,14395.0
07871,26257.8
07901,511251.49
07920,607441.7499999998
07921,46000.0
07922,230680.01
07927,27777.0
07932,108293.43
07940,22778.920000000002
07960,3253990.0899999966
07962,49193.87
07974,3000.0
08002,638382.51
08003,18154.76
08004,120550.0
08009,5769174.039999999
08012,31116.210000000003
08015,123655.40999999999
08021,60448.33
08022,1423.85
08026,7183.5
08033,6633.9
08034,46350.52999999999
08035,674067.1400000006
08043,428565.34999999986
08053,525429.51
08054,198803.27
08055,1985.62
08057,7340.08
08060,22125.0
08062,3169.0
08079,1000.0
08080,350.0
08081,12321.41
08083,8125.150000000001
08084,1335.55
08103,564690.85
08106,45234.799999999996
08124,17000.0
08225,172826.71999999997
08234,327707.40000000014
08240,56591.42
08244,392495.9600000001
08302,35065.33
08318,72377.1
08360,16650.42
08361,35093.149999999994
08401,7846.58
08502,350.0
08520,2394460.39
08534,14973.94
08536,33106.97
